Cell_ID,BSSID,RSSI,Mean,Std
Cell_7,1c:28:af:61:e5:d0,-91,-86.64705882,1.257503431
Cell_7,1c:28:af:61:e5:d1,-91,-86.71830986,1.474507305
Cell_7,1c:28:af:61:df:11,-91,-91.2195122,0.644382674
Cell_7,1c:28:af:61:df:10,-92,-91.16216216,0.788892947
Cell_7,d0:4d:c6:f2:fc:90,-74,-72.64772727,1.530298342
Cell_7,d0:4d:c6:f2:fc:92,-74,-72.74157303,1.583113771
Cell_7,d0:4d:c6:f2:fc:91,-74,-72.73033708,1.612897769
Cell_7,1c:28:af:65:fe:b0,-89,-83.4,2.581988897
Cell_7,d0:4d:c6:f3:03:b0,-89,-87.69444444,1.430218407
Cell_7,d0:4d:c6:f3:03:b1,-89,-87.87142857,1.472814881
Cell_7,d0:4d:c6:f3:03:b2,-89,-87.5890411,1.594817089
Cell_7,1c:28:af:62:64:40,-67,-68.30555556,0.907360165
Cell_7,1c:28:af:62:64:41,-67,-68.19444444,0.907360165
Cell_7,1c:28:af:65:fe:b2,-89,-83.60759494,2.688078329
Cell_7,1c:28:af:62:64:42,-67,-68.5125,0.948600943
Cell_7,1c:28:af:65:fe:b1,-89,-83.7972973,2.630279657
Cell_7,d0:4d:c6:f2:43:b0,-40,-40.53333333,1.066666667
Cell_7,d0:4d:c6:f2:43:b1,-40,-40.52222222,1.087584252
Cell_7,d0:4d:c6:f2:43:b2,-40,-40.6,1.093414631
Cell_7,d0:4d:c6:f2:81:00,-65,-64.28089888,1.842011383
Cell_7,d0:4d:c6:f2:43:a0,-47,-46.42528736,0.782453905
Cell_7,d0:4d:c6:f2:43:a1,-46,-46.55172414,0.690803641
Cell_7,d0:4d:c6:f2:43:a2,-47,-46.61176471,0.68760655
Cell_7,d0:4d:c6:f2:5d:42,-72,-73.28301887,1.606324276
Cell_7,d0:4d:c6:f2:5d:41,-72,-72.27272727,1.462101586
Cell_7,d0:4d:c6:f2:5d:40,-72,-72.54054054,1.535078035
Cell_7,d0:4d:c6:f2:fc:81,-73,-73.58536585,1.820956727
Cell_7,d0:4d:c6:f2:fc:80,-72,-74.14634146,1.894291496
Cell_7,d0:4d:c6:f2:fc:82,-72,-74.15909091,1.691464962
Cell_7,d0:4d:c6:f2:5d:52,-78,-76.61111111,1.122442223
Cell_7,d0:4d:c6:f2:5d:51,-78,-76.83146067,1.182607622
Cell_7,d0:4d:c6:f2:5d:50,-78,-76.74157303,1.175862962
Cell_7,d0:4d:c6:f2:81:02,-65,-64.59090909,1.703181272
Cell_7,1c:28:af:65:fd:d1,-86,-85.30337079,1.409474317
Cell_7,1c:28:af:65:fd:d0,-86,-85.06896552,1.499372309
Cell_7,1c:28:af:62:64:50,-77,-77.71590909,0.987983065
Cell_7,1c:28:af:62:64:51,-77,-77.96629213,1.075252134
Cell_7,d0:4d:c6:f2:50:90,-86,-83.32467532,1.155917114
Cell_7,1c:28:af:62:64:52,-78,-77.58426966,1.08936626
Cell_7,1c:28:af:65:fd:d2,-86,-85.10227273,1.438431696
Cell_7,1c:28:af:65:fd:c0,-81,-82,2.109502311
Cell_7,d0:4d:c6:f2:50:82,-77,-76.60416667,1.131731405
Cell_7,d0:4d:c6:f2:50:80,-77,-76.41463415,1.209224903
Cell_7,1c:28:af:65:fd:c2,-82,-81.23255814,2.100245936
Cell_7,1c:28:af:61:e5:d2,-89,-86.5942029,1.219632168
Cell_7,1c:28:af:61:e5:d0,-90,-86.64705882,1.257503431
Cell_7,1c:28:af:61:df:11,-92,-91.2195122,0.644382674
Cell_7,1c:28:af:61:df:12,-92,-91.1,0.663324958
Cell_7,1c:28:af:61:df:10,-92,-91.16216216,0.788892947
Cell_7,d0:4d:c6:f2:fc:90,-74,-72.64772727,1.530298342
Cell_7,d0:4d:c6:f2:fc:92,-75,-72.74157303,1.583113771
Cell_7,d0:4d:c6:f2:fc:91,-74,-72.73033708,1.612897769
Cell_7,d0:4d:c6:f3:03:b0,-88,-87.69444444,1.430218407
Cell_7,d0:4d:c6:f3:03:b2,-89,-87.5890411,1.594817089
Cell_7,1c:28:af:62:04:a2,-84,-83.925,0.848159773
Cell_7,1c:28:af:62:64:40,-68,-68.30555556,0.907360165
Cell_7,1c:28:af:62:64:41,-68,-68.19444444,0.907360165
Cell_7,1c:28:af:65:fe:b2,-88,-83.60759494,2.688078329
Cell_7,1c:28:af:62:64:42,-68,-68.5125,0.948600943
Cell_7,d0:4d:c6:f2:43:b0,-41,-40.53333333,1.066666667
Cell_7,d0:4d:c6:f2:43:b1,-41,-40.52222222,1.087584252
Cell_7,d0:4d:c6:f2:43:b2,-41,-40.6,1.093414631
Cell_7,d0:4d:c6:f2:81:00,-66,-64.28089888,1.842011383
Cell_7,d0:4d:c6:f2:43:a0,-47,-46.42528736,0.782453905
Cell_7,d0:4d:c6:f2:43:a1,-47,-46.55172414,0.690803641
Cell_7,d0:4d:c6:f2:43:a2,-47,-46.61176471,0.68760655
Cell_7,d0:4d:c6:f2:5d:42,-70,-73.28301887,1.606324276
Cell_7,d0:4d:c6:f2:5d:41,-70,-72.27272727,1.462101586
Cell_7,d0:4d:c6:f2:5d:40,-70,-72.54054054,1.535078035
Cell_7,d0:4d:c6:f2:fc:80,-73,-74.14634146,1.894291496
Cell_7,d0:4d:c6:f2:5d:52,-78,-76.61111111,1.122442223
Cell_7,d0:4d:c6:f2:5d:51,-78,-76.83146067,1.182607622
Cell_7,d0:4d:c6:f2:5d:50,-78,-76.74157303,1.175862962
Cell_7,d0:4d:c6:f2:81:02,-66,-64.59090909,1.703181272
Cell_7,1c:28:af:65:fd:d1,-86,-85.30337079,1.409474317
Cell_7,1c:28:af:65:fd:d0,-86,-85.06896552,1.499372309
Cell_7,1c:28:af:62:64:50,-77,-77.71590909,0.987983065
Cell_7,1c:28:af:62:64:51,-78,-77.96629213,1.075252134
Cell_7,d0:4d:c6:f2:50:90,-85,-83.32467532,1.155917114
Cell_7,1c:28:af:62:64:52,-77,-77.58426966,1.08936626
Cell_7,1c:28:af:65:fd:d2,-86,-85.10227273,1.438431696
Cell_7,d0:4d:c6:f2:fc:90,-73,-72.64772727,1.530298342
Cell_7,d0:4d:c6:f2:fc:92,-73,-72.74157303,1.583113771
Cell_7,d0:4d:c6:f2:fc:91,-73,-72.73033708,1.612897769
Cell_7,d0:4d:c6:f3:03:b0,-88,-87.69444444,1.430218407
Cell_7,d0:4d:c6:f3:03:b1,-89,-87.87142857,1.472814881
Cell_7,d0:4d:c6:f3:03:b2,-88,-87.5890411,1.594817089
Cell_7,1c:28:af:62:64:40,-69,-68.30555556,0.907360165
Cell_7,1c:28:af:62:64:41,-68,-68.19444444,0.907360165
Cell_7,1c:28:af:62:64:42,-69,-68.5125,0.948600943
Cell_7,1c:28:af:65:fe:b1,-89,-83.7972973,2.630279657
Cell_7,d0:4d:c6:f2:43:b0,-41,-40.53333333,1.066666667
Cell_7,d0:4d:c6:f2:43:b1,-41,-40.52222222,1.087584252
Cell_7,d0:4d:c6:f2:43:b2,-41,-40.6,1.093414631
Cell_7,d0:4d:c6:f2:81:00,-65,-64.28089888,1.842011383
Cell_7,d0:4d:c6:f2:43:a0,-46,-46.42528736,0.782453905
Cell_7,d0:4d:c6:f2:43:a1,-46,-46.55172414,0.690803641
Cell_7,1c:28:af:61:e7:c2,-82,-85.51851852,1.572221132
Cell_7,d0:4d:c6:f2:43:a2,-46,-46.61176471,0.68760655
Cell_7,d0:4d:c6:f2:5d:42,-70,-73.28301887,1.606324276
Cell_7,d0:4d:c6:f2:5d:41,-70,-72.27272727,1.462101586
Cell_7,d0:4d:c6:f2:5d:40,-70,-72.54054054,1.535078035
Cell_7,d0:4d:c6:f2:5d:52,-74,-76.61111111,1.122442223
Cell_7,d0:4d:c6:f2:5d:51,-74,-76.83146067,1.182607622
Cell_7,d0:4d:c6:f2:5d:50,-74,-76.74157303,1.175862962
Cell_7,d0:4d:c6:f2:81:02,-65,-64.59090909,1.703181272
Cell_7,1c:28:af:65:fd:d1,-90,-85.30337079,1.409474317
Cell_7,1c:28:af:65:fd:d0,-90,-85.06896552,1.499372309
Cell_7,1c:28:af:62:64:50,-78,-77.71590909,0.987983065
Cell_7,1c:28:af:62:64:51,-78,-77.96629213,1.075252134
Cell_7,d0:4d:c6:f2:50:90,-82,-83.32467532,1.155917114
Cell_7,1c:28:af:62:64:52,-78,-77.58426966,1.08936626
Cell_7,1c:28:af:65:fd:d2,-90,-85.10227273,1.438431696
Cell_7,d0:4d:c6:f2:50:82,-79,-76.60416667,1.131731405
Cell_7,d0:4d:c6:f2:50:81,-78,-76.80555556,1.370714421
Cell_7,d0:4d:c6:f2:50:80,-78,-76.41463415,1.209224903
Cell_7,1c:28:af:61:e5:d2,-91,-86.5942029,1.219632168
Cell_7,1c:28:af:61:e5:d0,-91,-86.64705882,1.257503431
Cell_7,1c:28:af:61:e5:d1,-91,-86.71830986,1.474507305
Cell_7,1c:28:af:61:df:11,-91,-91.2195122,0.644382674
Cell_7,1c:28:af:61:df:12,-92,-91.1,0.663324958
Cell_7,1c:28:af:61:df:10,-92,-91.16216216,0.788892947
Cell_7,d0:4d:c6:f2:fc:90,-74,-72.64772727,1.530298342
Cell_7,d0:4d:c6:f2:fc:92,-74,-72.74157303,1.583113771
Cell_7,d0:4d:c6:f2:fc:91,-73,-72.73033708,1.612897769
Cell_7,1c:28:af:65:fe:b0,-89,-83.4,2.581988897
Cell_7,d0:4d:c6:f3:03:b0,-92,-87.69444444,1.430218407
Cell_7,1c:28:af:62:04:a1,-85,-84.19354839,0.819888066
Cell_7,d0:4d:c6:f3:03:b1,-92,-87.87142857,1.472814881
Cell_7,1c:28:af:62:04:a0,-85,-84.5,0.645497224
Cell_7,d0:4d:c6:f3:03:b2,-91,-87.5890411,1.594817089
Cell_7,1c:28:af:62:04:a2,-86,-83.925,0.848159773
Cell_7,1c:28:af:62:64:40,-69,-68.30555556,0.907360165
Cell_7,1c:28:af:65:fe:b2,-90,-83.60759494,2.688078329
Cell_7,1c:28:af:62:64:42,-69,-68.5125,0.948600943
Cell_7,1c:28:af:65:fe:b1,-89,-83.7972973,2.630279657
Cell_7,d0:4d:c6:f2:43:b0,-40,-40.53333333,1.066666667
Cell_7,d0:4d:c6:f2:43:b1,-40,-40.52222222,1.087584252
Cell_7,d0:4d:c6:f2:43:b2,-40,-40.6,1.093414631
Cell_7,d0:4d:c6:f2:81:00,-63,-64.28089888,1.842011383
Cell_7,d0:4d:c6:f2:43:a0,-48,-46.42528736,0.782453905
Cell_7,d0:4d:c6:f2:43:a1,-48,-46.55172414,0.690803641
Cell_7,1c:28:af:61:e7:c2,-81,-85.51851852,1.572221132
